url,Title,Category_Source,Categories,Authors,Price NIS,Price USD,Year,Synopsis,Synopsis Length,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight Unit,ISBN
https://www.bookdelivery.com/il-en/book-jojo-s-bizarre-adventure-part-7-steel-ball-run-vol-2-2/9781974755172/p/64090960,"Jojo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 2 (2) - Hirohiko Araki",Arts,Arts,Hirohiko Araki,83.52,27.75,2025,"""Jojo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 2 (2)"" A multigenerational tale of the heroic Joestar family and their never-ending battle against evil! The legendary Shonen Jump series is now available in deluxe hardcover editions featuring color pages! JoJo’s Bizarre Adventure is a groundbreaking manga famous for its outlandish characters, wild humor, and frenetic battles. Gyro leads the race at the end of the first stage—but it’s too soon to celebrate just yet. Three competitors have turned up dead, and the famous cowboy Mountain Tim has just been deputized to find the culprits. Following the trail of horseshoe tracks, he sets his sights on Johnny and Gyro. But as the three men collide in the hostile Arizona desert, it quickly becomes clear that the second stage of this race may just be their last!",820,None,0,English,Hardcover,"14.61, 3.56, 20.96",cm,,gr,9781974755172
https://www.bookdelivery.com/il-en/book-jojo-s-bizarre-adventure-part-7-steel-ball-run-vol-2-2/9781974755172/p/64090960,"Jojo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 2 (2) - Hirohiko Araki",Arts,Arts,Hirohiko Araki,83.52,27.75,2025,"""Jojo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 2 (2)"" A multigenerational tale of the heroic Joestar family and their never-ending battle against evil! The legendary Shonen Jump series is now available in deluxe hardcover editions featuring color pages! JoJo’s Bizarre Adventure is a groundbreaking manga famous for its outlandish characters, wild humor, and frenetic battles. Gyro leads the race at the end of the first stage—but it’s too soon to celebrate just yet. Three competitors have turned up dead, and the famous cowboy Mountain Tim has just been deputized to find the culprits. Following the trail of horseshoe tracks, he sets his sights on Johnny and Gyro. But as the three men collide in the hostile Arizona desert, it quickly becomes clear that the second stage of this race may just be their last!",820,None,0,English,Hardcover,"14.61, 3.56, 20.96",cm,,gr,9781974755172
https://www.bookdelivery.com/il-en/book-avatar-the-way-of-water-the-visual-dictionary/9780744028706/p/54498606,"Avatar the way of Water the Visual Dictionary  - Izzo, Joshua ; Weaver, Sigourney ; Berger, Zachary",Arts,Arts,"Joshua Izzo, Zachary Berger, Sigourney Weaver",94.53,31.41,2022,"""Avatar the way of Water the Visual Dictionary "" Dive into the depths of Avatar: The Way of Water with this definitive guide. Created in close collaboration with James Cameron’s Lightstorm Entertainment and written by experts who worked on the film, this authoritative book is packed with stunning exclusive details. This must-have visual guide showcases the characters, creatures, vehicles, weapons, and locations from the latest adventure in Pandora. Meet the next generation of Jake Sully and Neytiri’s family, including the mysterious Kiri and the heroic Neteyam, and their brave new allies among the Metkayina clan. Discover the majestic tulkun, speedy skimwings, and the other fauna and flora of Pandora’s oceans. Examine the latest fearsome RDA vehicles and the specialist recom troops under Colonel Quaritch’s command. Uncover the inner workings of Bridehead City and the sacred Cove of the Ancestors. With a foreword by Sigourney Weaver, Avatar: The Way of Water: The Visual Dictionary is the perfect gift for Avatar fans of all ages. © 2022 20th Century Studios.",1072,None,0,English,Hardcover,"30.5, 25.9, 1.5",cm,1.02.,kg,9780744028706
https://www.bookdelivery.com/il-en/book-avatar-the-way-of-water-the-visual-dictionary/9780744028706/p/54498606,"Avatar the way of Water the Visual Dictionary  - Izzo, Joshua ; Weaver, Sigourney ; Berger, Zachary",Arts,Arts,"Joshua Izzo, Zachary Berger, Sigourney Weaver",94.53,31.41,2022,"""Avatar the way of Water the Visual Dictionary "" Dive into the depths of Avatar: The Way of Water with this definitive guide. Created in close collaboration with James Cameron’s Lightstorm Entertainment and written by experts who worked on the film, this authoritative book is packed with stunning exclusive details. This must-have visual guide showcases the characters, creatures, vehicles, weapons, and locations from the latest adventure in Pandora. Meet the next generation of Jake Sully and Neytiri’s family, including the mysterious Kiri and the heroic Neteyam, and their brave new allies among the Metkayina clan. Discover the majestic tulkun, speedy skimwings, and the other fauna and flora of Pandora’s oceans. Examine the latest fearsome RDA vehicles and the specialist recom troops under Colonel Quaritch’s command. Uncover the inner workings of Bridehead City and the sacred Cove of the Ancestors. With a foreword by Sigourney Weaver, Avatar: The Way of Water: The Visual Dictionary is the perfect gift for Avatar fans of all ages. © 2022 20th Century Studios.",1072,None,0,English,Hardcover,"30.5, 25.9, 1.5",cm,1.02.,kg,9780744028706
https://www.bookdelivery.com/il-en/book-ghibli-best-stories-original-edition/9784111790173/p/52020417,Ghibli Best Stories: Original Edition  - Joe Hisaishi,Arts,Arts,Joe Hisaishi,72.17,23.98,2014,"""Ghibli Best Stories: Original Edition "" (Piano Collection). This collection features Joe Hisaishi's music from Studio Ghibli films directed by Hayao Miyazaki (Castle in the Sky, Princess Mononoke, My Neighbor Totoro, Howl's Moving Castle, and others), arranged for piano. It is the only edition approved by the composer. CONTENTS: One Summer's Day from Spirited Away Kiki's Delivery Service from Kiki's Delivery Service Confessions in the Moonlight from Castle in the Sky The Wind Forest from My Neighbor Totoro The Road to the Valley from Nausicaa of the Valley of the Wind Fantasia (for Nausicaa) from Nausicaa of the Valley of the Wind il porco rosso from Porco Rosso Ponyo on the Cliff by the Sea from Ponyo on the Cliff by the Sea Mother Sea from Ponyo on the Cliff by the Sea Merry-Go-Round from Howl's Moving Castle Princess Mononoke from Princess Mononoke Ashitaka and San from Princess Mononoke My Neighbor Totoro from My Neighbor Totoro",947,None,0,English,Paperback,"30.0, 22.6, 1.0",cm,0.32.,kg,9784111790173
https://www.bookdelivery.com/il-en/book-ghibli-best-stories-original-edition/9784111790173/p/52020417,Ghibli Best Stories: Original Edition  - Joe Hisaishi,Arts,Arts,Joe Hisaishi,72.17,23.98,2014,"""Ghibli Best Stories: Original Edition "" (Piano Collection). This collection features Joe Hisaishi's music from Studio Ghibli films directed by Hayao Miyazaki (Castle in the Sky, Princess Mononoke, My Neighbor Totoro, Howl's Moving Castle, and others), arranged for piano. It is the only edition approved by the composer. CONTENTS: One Summer's Day from Spirited Away Kiki's Delivery Service from Kiki's Delivery Service Confessions in the Moonlight from Castle in the Sky The Wind Forest from My Neighbor Totoro The Road to the Valley from Nausicaa of the Valley of the Wind Fantasia (for Nausicaa) from Nausicaa of the Valley of the Wind il porco rosso from Porco Rosso Ponyo on the Cliff by the Sea from Ponyo on the Cliff by the Sea Mother Sea from Ponyo on the Cliff by the Sea Merry-Go-Round from Howl's Moving Castle Princess Mononoke from Princess Mononoke Ashitaka and San from Princess Mononoke My Neighbor Totoro from My Neighbor Totoro",947,None,0,English,Paperback,"30.0, 22.6, 1.0",cm,0.32.,kg,9784111790173
https://www.bookdelivery.com/il-en/book-the-creative-act-a-way-of-being/9780593652886/p/54480492,The Creative Act: A way of Being  - Rick Rubin,Arts,Arts,Rick Rubin,82.18,27.31,None,"""The Creative Act: A way of Being "" The #1 New York Times bestseller. From the legendary music producer, a master at helping people connect with the wellsprings of their creativity, comes a beautifully crafted book many years in the making that offers that same deep wisdom to all of us. ""A gorgeous and inspiring work of art on creation, creativity, the work of the artist. It will gladden the hearts of writers and artists everywhere, and get them working again with a new sense of meaning and direction. A stunning accomplishment."" --Anne Lamott ""I set out to write a book about what to do to make a great work of art. Instead, it revealed itself to be a book on how to be."" --Rick Rubin Many famed music producers are known for a particular sound that has its day. Rick Rubin is known for something else: creating a space where artists of all different genres and traditions can home in on who they really are and what they really offer. He has made a practice of helping people transcend their self-imposed expectations in order to reconnect with a state of innocence from which the surprising becomes inevitable. Over the years, as he has thought deeply about where creativity comes from and where it doesn't, he has learned that being an artist isn't about your specific output, it's about your relationship to the world. Creativity has a place in everyone's life, and everyone can make that place larger. In fact, there are few more important responsibilities. The Creative Act is a beautiful and generous course of study that illuminates the path of the artist as a road we all can follow. It distills the wisdom gleaned from a lifetime's work into a luminous reading experience that puts the power to create moments--and lifetimes--of exhilaration and transcendence within closer reach for all of us.",1810,None,18,English,Hardcover,"21.6, 15.7, 3.3",cm,0.61.,kg,9780593652886
https://www.bookdelivery.com/il-en/book-the-creative-act-a-way-of-being/9780593652886/p/54480492,The Creative Act: A way of Being  - Rick Rubin,Arts,Arts,Rick Rubin,82.18,27.31,None,"""The Creative Act: A way of Being "" The #1 New York Times bestseller. From the legendary music producer, a master at helping people connect with the wellsprings of their creativity, comes a beautifully crafted book many years in the making that offers that same deep wisdom to all of us. ""A gorgeous and inspiring work of art on creation, creativity, the work of the artist. It will gladden the hearts of writers and artists everywhere, and get them working again with a new sense of meaning and direction. A stunning accomplishment."" --Anne Lamott ""I set out to write a book about what to do to make a great work of art. Instead, it revealed itself to be a book on how to be."" --Rick Rubin Many famed music producers are known for a particular sound that has its day. Rick Rubin is known for something else: creating a space where artists of all different genres and traditions can home in on who they really are and what they really offer. He has made a practice of helping people transcend their self-imposed expectations in order to reconnect with a state of innocence from which the surprising becomes inevitable. Over the years, as he has thought deeply about where creativity comes from and where it doesn't, he has learned that being an artist isn't about your specific output, it's about your relationship to the world. Creativity has a place in everyone's life, and everyone can make that place larger. In fact, there are few more important responsibilities. The Creative Act is a beautiful and generous course of study that illuminates the path of the artist as a road we all can follow. It distills the wisdom gleaned from a lifetime's work into a luminous reading experience that puts the power to create moments--and lifetimes--of exhilaration and transcendence within closer reach for all of us.",1810,None,18,English,Hardcover,"21.6, 15.7, 3.3",cm,0.61.,kg,9780593652886
https://www.bookdelivery.com/il-en/book-sneaker-freaker-the-ultimate-sneaker-book-40th-ed/9783836597982/p/56854743,"Sneaker Freaker. the Ultimate Sneaker Book. 40th Ed. - Wood, Simon",Arts,Arts,Simon Wood,93.5,31.07,None,"""Sneaker Freaker. the Ultimate Sneaker Book. 40th Ed."" Back in 2002, Simon ""Woody"" Wood was dreaming up schemes to get free sneakers. Two weeks later, he was the proud owner of Sneaker Freaker and his life was never the same.  From its early roots as a punk-style fanzine to today's super-slick print and online operations, the fiercely independent publication has documented every collab, custom, limited edition, retro reissue, Quickstrike, Hyperstrike, and Tier Zero sneaker released over the last 20 years.  Woody's original premise that Sneaker Freaker would be ""funny and serious, meaningful and pointless at the same time"" has certainly been vindicated in The Ultimate Sneaker Book. With more than 500 pages jam-packed with insider knowledge and his own irreverent observations, the insane historical detail and otaku-level minutiae is beyond obsessive.  Traversing 100 years of history, each chapter paints a rollicking picture of the sneaker industry's evolution. Air Max, Air Force, Adi Dassler, Converse, Dapper Dan, Dee Brown, and Michael Jordan--along with obscure treasures like Troop, Airwalk, and Vision Street Wear--are all exhaustively documented.  This is a definitive source of knowledge. This is... The Ultimate Sneaker Book!",1246,None,4,English,Hardcover,"15.6, 21.7",cm,,gr,9783836597982
https://www.bookdelivery.com/il-en/book-sneaker-freaker-the-ultimate-sneaker-book-40th-ed/9783836597982/p/56854743,"Sneaker Freaker. the Ultimate Sneaker Book. 40th Ed. - Wood, Simon",Arts,Arts,Simon Wood,93.5,31.07,None,"""Sneaker Freaker. the Ultimate Sneaker Book. 40th Ed."" Back in 2002, Simon ""Woody"" Wood was dreaming up schemes to get free sneakers. Two weeks later, he was the proud owner of Sneaker Freaker and his life was never the same.  From its early roots as a punk-style fanzine to today's super-slick print and online operations, the fiercely independent publication has documented every collab, custom, limited edition, retro reissue, Quickstrike, Hyperstrike, and Tier Zero sneaker released over the last 20 years.  Woody's original premise that Sneaker Freaker would be ""funny and serious, meaningful and pointless at the same time"" has certainly been vindicated in The Ultimate Sneaker Book. With more than 500 pages jam-packed with insider knowledge and his own irreverent observations, the insane historical detail and otaku-level minutiae is beyond obsessive.  Traversing 100 years of history, each chapter paints a rollicking picture of the sneaker industry's evolution. Air Max, Air Force, Adi Dassler, Converse, Dapper Dan, Dee Brown, and Michael Jordan--along with obscure treasures like Troop, Airwalk, and Vision Street Wear--are all exhaustively documented.  This is a definitive source of knowledge. This is... The Ultimate Sneaker Book!",1246,None,4,English,Hardcover,"15.6, 21.7",cm,,gr,9783836597982
