,mean,std,min,max,median,total_rows
Price USD,9.310000000000002,1.77657105186282e-15,9.31,9.31,9.31,4147
Year,2014.491622239147,12.234413846496187,1629.0,2026.0,2018.0,4147
StarRating,4.812027027027027,0.348531830958295,2.5,5.0,5.0,4147
NumberOfReviews,0.8878707499397155,7.760103973241845,0.0,340.0,0.0,4147
NumberOfAuthors,1.3749698577284784,0.6815609250512629,0.0,4.0,1.0,4147
