url,Title,Category,Categories,Authors,Price NIS,Price USD,Year,Synopsis,Synopsis Length,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight Unit,ISBN,IsExpensive,NumberOfAuthors
https://www.bookdelivery.com/il-en/book-the-secret-history/9781400031702/p/1685651,The Secret History,Arts,"Film, television or radio genres: action, adventure, crime and thrillers, Fiction: general and literary, Crime and mystery, Psychological thriller, Narrative theme: inner life",Donna Tartt,28.0,9.31,1992.0,"""The Secret History"" A READ WITH JENNA BOOK CLUB PICK - ONE OF TIME MAGAZINE'S 100 BEST MYSTERY AND THRILLER BOOKS OF ALL TIME - INTERNATIONAL BESTSELLER - A contemporary literary classic and ""an accomplished psychological thriller ... absolutely chilling"" (Village Voice), from the Pulitzer Prize-winning author of The Goldfinch. One of The Atlantic's Great American Novels of the Past 100 Years Under the influence of a charismatic classics professor, a group of clever, eccentric misfits at a New England college discover a way of thought and life a world away from their banal contemporaries. But their search for the transcendent leads them down a dangerous path, beyond human constructs of morality. ""A remarkably powerful novel [and] a ferociously well-paced entertainment . . . Forceful, cerebral, and impeccably controlled."" --The New York Times",854,4.83,12,English,Paperback,"20.1, 13.0, 2.5",cm,0.39.9781400031702,kg,9781400031702,0,1
https://www.bookdelivery.com/il-en/book-godzilla-the-official-pop-up-book/9798886636161/p/61956192,Godzilla: The Official Pop-Up Book,Arts,"Art history, Cinema: styles and genres, Film, television or radio genres: science fiction, fantasy and horror, Science fiction, Fantasy, Popular culture",Matthew Reinhart,28.0,9.31,2024.0,"""Godzilla: The Official Pop-Up Book"" Unleash the immense power of Godzilla with this pop-up masterpiece by world-renowned paper engineer Matthew Reinhart featuring vintage artwork reinvented for a modern audience. This one-of-a-kind collectible explores the rich history of Godzilla lore in a visual feast worthy of the King of Monsters. Behold the stunningly stylized renderings of Godzilla and the many monsters from Monster Island in this one-of-a kind collectible. Delve into the lore of the monster with fascinating information and insightful analysis written by an expert in Godzilla's history, while coming face-to-face with the creature in stunning 3-D. Featuring expanding flaps, pull-tab attacks, and one of the tallest pop-ups to ever rise from the depths of a book, this title is a true celebration of the King of Monsters. A TRUE CLASSIC: Celebrate over 70 years of rich history with the monster that launched a momentous film franchise. KAIJU POP: Unleash the mighty Godzilla with a standout pop-up that rises over a foot tall off the pages. A MONSTER PAIRING: Matthew Reinhart's intricate paper engineering mixed with the lush illustrations of Yuko Shimizu brings the classic look of the monster to life in a stunning art piece to enjoy and display. READ MORE ABOUT IT: Fascinating facts and tantalizing trivia bring the pages to life with an in-depth analysis of Godzilla lore. THE GODZILLA FILES: Includes over 15 removable documents detailing the history of the creature and its friends and foes.",1514,5.0,5,English,Hardcover,"25.1, 31.0, 3.3",cm,0.35.,kg,9798886636161,0,1
https://www.bookdelivery.com/il-en/book-adult-all-in-one-course-level-1-lesson-theory-technic/9780882848181/p/1587147,"adult all-in-one course level 1,lesson-theory-technic",Arts,"Scores, lyrics and libretti, Piano","Morton Manus, Willard A. Palmer, Amanda Vick Lethco",28.0,9.31,,"""adult all-in-one course level 1,lesson-theory-technic"" Alfred's Basic Adult All-in-One Course is designed for use with a piano instructor for the beginning student looking for a truly complete piano course. It is a greatly expanded version of Alfred's Basic Adult Piano Course that will include lesson, theory, and technique in a convenient, all-in-one format. This comprehensive course adds such features as isometric hand exercises, finger strengthening drills, and written assignments that reinforce each lesson's concepts. There is a smooth, logical progression between each lesson, a thorough explanation of chord theory and playing styles, and outstanding extra songs, including folk, classical, and contemporary selections. At the completion of this course, the student will have learned to play some of the most popular music ever written and will have gained a good understanding of basic musical concepts and styles. Titles: Alouette * Alpine Melody * Amazing Grace * Au Claire de la Lune * Aunt Rhody * Auld Lang Syne * Aura Lee * The Bandleader * Beautiful Brown Eyes * Blow the Man Down! * Blues for Wynton Marsalis * Brother John * Café Vienna * The Can-Can * Chasing the Blues Away * Chiapanecas * Cockles and Mussels * The Cuckoo * Day is Done * Dueling Harmonics * The Entertainer * A Friend Like You * Go Down, Moses * Good King Wenceslas * Good Morning to You! * Good People * Got Those Blues * Greensleeves * Happy Birthday to You! * Harmonica Rock * Harp Song * Here's a Happy Song! * He's Got the Whole World in His Hands * I'm Gonna Lay My Burden Down * Jericho * Jingle Bells * Joy to the World! * Kum-ba-yah! * Largo (Dvorak) * Lavender's Blue * Lightly Row * Little Brown Jug * Liza Jane * London Bridge * Lone Star Waltz * Love Somebody * Lullaby * The Marine's Hymn * Mary Ann * Merrily We Roll Along * Mexican Hat Dance * Michael, Row the Boat Ashore * Money Can't Buy Everything * My Fifth * Ode to Joy * On Top of Old Smoky * O Sole Mio * Raisins and Almonds * Rock Along * Rockets * Rockin' Intervals * Rock It Away! * Sc",2054,,0,English,Paperback,"29.7, 23.4, 1.3",cm,0.52.0882848186,kg,9780882848181,0,3
https://www.bookdelivery.com/il-en/book-mastering-composition-techniques-and-principles-to-dramatically-improve-your-painting/9781581809244/p/1907294,"mastering composition,techniques and principles to dramatically improve your painting",Arts,"Arts: general aspects, Painting and painted works, Landscapes/seascapes, Arts: techniques and artistic principles, Teaching a specific subject",Ian Roberts,28.0,9.31,,"""mastering composition,techniques and principles to dramatically improve your painting"" Create Better Compositions by Design The path to better painting begins with Mastering Composition. This effective guide blends clear, visual instruction with 5 step-by-step demonstrations to show you how to plan and paint your best work yet. Composition is the key, and here you'll learn to design paintings with new skill and confidence. It all begins with the armature or structure of the picture plane. Every great painting has one, and you'll see through several famous examples exactly how the Old Masters used armatures to create movement, narrative, harmony and fluidity. Based on these examples, you'll practice what you've learned following a series of hands-on demonstrations. Once you understand the basic principles of design, you'll be amazed at how quickly and effectively your compositions come together. Soon you will be painting more boldly and confidently than ever before with less reworking and overworking. Whether you're a beginner looking for basic instruction or a more advanced painter troubleshooting a specific problem, the proven methods in this book will work for you. Ideal for all mediums, Mastering Composition gives you the knowledge you need to create powerful paintings out of every subject.",1315,5.0,4,English,Hardcover,"28.4, 22.1, 2.3",cm,0.91.1581809247,kg,9781581809244,0,1
https://www.bookdelivery.com/il-en/book-five-nights-at-freddy-s-ticket-to-fun-ephemera-kit/9798886632637/p/56298739,Five Nights at Freddy's: Ticket to Fun Ephemera Kit,Arts,"Art history, Cinema: styles and genres, Film, television or radio genres: science fiction, fantasy and horror, Popular culture, Computer games/online games: strategy guides",Sarah Madsen,28.0,9.31,2025.0,"""Five Nights at Freddy's: Ticket to Fun Ephemera Kit"" Keep the lights on and dive into the terrifying world of Freddy Fazbear with an array of fun and frightening collectibles based on your favorite haunted animatronics. You’ll feel like a night guard on their first shift with this jam-packed, terrifying ephemera kit! Featuring spooky art, fun collectibles, and the iconic characters and locales of Five Nights at Freddy’s, this experiential kit takes you through the iconic Freddy Fazbear’s Pizza. With in-world objects, including tickets, stickers, a badge, a flashlight, and more, you’ll be in for a chilling night like no other. Five Nights at Freddy’s is filled with intriguing secrets and homages to fan-favorite characters, including Freddy, Foxy, Bonnie, Chica, and more. Perfect for any Five Nights at Freddy’s fan, this one-of-a-kind gaming companion will bring fantasy and fun to life! FAVORITE SCARES: Discover toys and illustrations featuring beloved characters like Bonnie, Chica, Foxy, Ballora, the Puppet, and, of course, Freddy Fazbear himself! (And maybe a few you were hoping you’d never see again . . .) GIFT FOR ALL AGES: Scary and fun merchandise fit for all Five Nights at Freddy’s fans—veterans and newcomers alike!",1241,,0,English,Paperback,,,,gr,9798886632637,0,1
https://www.bookdelivery.com/il-en/book-der-klang-der-familie-berlin-techno-and-the-fall-of-the-wall/9783738604290/p/53853265,"Der Klang der Familie: Berlin, Techno and the Fall of the Wall",Arts,Arts: general aspects,"Felix Denk, Sven von Thülen",28.0,9.31,2014.0,"""Der Klang der Familie: Berlin, Techno and the Fall of the Wall "" After the fall of the Wall, Berlin is full of disused spaces and abandoned buildings, just waiting to be filled with new life. It is unclear who owns any of this, which allows the techno scene to take over these new empty spaces in both halves of the city. Clubs, galleries, ateliers and studios spring up - only to disappear again a few weeks later. Soon Berlin has become the epicentre of a new culture, attracting enthusiastic followers from all over the world to clubs like the Tresor and the E-Werk. Wearing gasmasks and welding goggles they dance the night away to the jackhammer sound of previously obscure Detroit DJs. Among them are writers, artists, photographers, designers, DJs, club-owners, music producers, bouncers and scenesters, people from the centre of the movement and from its peripheries - in Der Klang der Familie they all get to have their say and paint a vibrant picture of a time when it felt like everything was possible.",1014,,0,English,Paperback,"20.3, 12.7, 1.7",cm,0.30.,kg,9783738604290,0,2
https://www.bookdelivery.com/il-en/book-magnum-contact-sheets/9780500292914/p/48405224,Magnum Contact Sheets,Arts,"Photographic collections, Photojournalism and documentary photography, Biography: general",Kristen Lubben,28.0,9.31,2017.0,"""Magnum Contact Sheets "" Available for the first time in an accessible paperback edition, this groundbreaking book presents a remarkable selection of contact sheets and ancillary material, revealing how the most celebrated Magnum photographers capture and edit the very best shots. Addressing key questions of photographic practice, the book illuminates the creative methods, strategies, and editing processes behind some of the world's most iconic images.Featured are 139 contact sheets from sixty- nine photographers, as well as zoom-in details, selected photographs, press cards, notebooks, and spreads from contemporary publications including Life magazine and Picture Post. Further insight into each contact sheet is provided by texts written by the photographers themselves or by experts chosen by the members' estates. Many of the acknowledged greats of photography are featured, including Henri Cartier- Bresson, Elliott Erwitt, and Inge Morath, as well as such members of Magnum's latest generation as Jonas Bendiksen, Alessandra Sanguinetti, and Alec Soth. The contact sheets cover over seventy years of history, from Robert Capa's Normandy landings and the Paris riots of 1968 via Bruno Barbey, to images of Che Geuvara by René Burri, Malcolm X by Eve Arnold, and portraits of classic New Yorkers by Bruce Gilden.",1324,,0,English,Paperback,"29.2, 24.1, 3.8",cm,2.81.,kg,9780500292914,0,1
https://www.bookdelivery.com/il-en/book-out-of-the-box-the-rise-of-sneaker-culture/9780847846603/p/47044709,Out of the Box: The Rise of Sneaker Culture,Arts,"Fashion and textile design: accessories, Popular culture, Make-up, hairdressing and beauty","Elizabeth Semmelhack, Bobbito Garcia, Emanuele Lepri",28.0,9.31,2015.0,"""Out of the Box: The Rise of Sneaker Culture "" A groundbreaking traveling exhibition,  Out of the Box showcases sneakers, from the mid-nineteenth century to sports performance breakthroughs, to present-day cultural icons. ﻿Drawn from the collection of the Bata Shoe Museum and significant private collectors, museums, and archives--including adidas AG, Converse Archives, Kosow Sneaker Museum, Nike Archives, Northampton Museums and Art Gallery, and Reebok Archives--this selection is richly contextualized with interviews and essays by design innovators, sneaker collectors, and cultural historians, creating a backdrop of the technical innovation, fashion trends, social history, and marketing campaigns that shaped the form over the past two centuries. Out of the Box includes sneakers ranging from an 1860 spiked running shoe, a pair of 1936 track shoes, Air Jordans I-XX3, the original Air Force 1, and early Adidas Superstars to contemporary sneakers by prominent figures including Damien Hirst, Jeremy Scott, Jeff Staple, and Kanye West. The book also highlights sneakers and prototype drawings that span the career of Nike sneaker design legend Tinker Hatfield, making this the definitive illustrated history of sneaker culture.",1236,,0,English,Hardcover,"30.5, 25.9, 2.5",cm,1.81.,kg,9780847846603,0,3
https://www.bookdelivery.com/il-en/book-disney-dreams-collection-thomas-kinkade-studios-disney-princess-coloring-book/9781524865559/p/53644214,Disney Dreams Collection Thomas Kinkade Studios Disney Princess Coloring Book,Arts,"Artists, art monographs, Animated films and animation, Adult activity and colouring books",Thomas Kinkade,28.0,9.31,2020.0,"""Disney Dreams Collection Thomas Kinkade Studios Disney Princess Coloring Book "" Coloring Snow White, Cinderella, Pocahontas, Ariel, Tiana, and other Disney Princess characters is easy and fun with this special coloring book that contains more than 40 coloring pages. Each image was created from the Disney Dreams Collection of paintings by the Thomas Kinkade Studios, and is presented in color across the page from the exceptionally detailed black line art of the same image. This coloring book is perfect for fans of Disney Princess characters and Thomas Kinkade Studios' Disney Dreams paintings.Measures 7.25"" x 9.5"" closedSoft cover96 pagesFull-color art of image opposite black line art to colorUncoated paper suitable for crayons, colored pencils, and gel pensPrinted on FSC-certified paper (c) Disney",807,,0,English,Paperback,"23.9, 18.3, 0.8",cm,0.32.,kg,9781524865559,0,1
https://www.bookdelivery.com/il-en/book-jojo-a-go-go/9781974746859/p/56219560,Jojo A-Go!go!,Arts,"Art history, Artists, art monographs, Popular culture, Graphic novels / comics: inspired by or adapted from non-book works",Hirohiko Araki,28.0,9.31,,"""Jojo A-Go!go!"" Let's JoJo A-Go!Go! Hirohiko Araki's JoJo's Bizarre Adventure is a beloved epic with dedicated fans everywhere under the sun. The art book JoJo A-Go!Go! collects exclusive illustrations and color pages as it dances through Stardust Crusaders, Diamond Is Unbreakable, and Golden Wind--and it even includes a peek at Stone Ocean! Available for the first time as a standalone hardcover, this collection of Araki's beautifully bizarre artwork is a truly deluxe package, a funky look at the all-star characters and good vibes that made JoJo's Bizarre Adventure a success!",582,5.0,8,English,Hardcover,,,0.85.,kg,9781974746859,0,1
